Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL,Year
2019-07-31,Solway Firth,Slipknot,45,45.0,1,,,2019
2005-05-11,Some Cut,Triville Feat. Cutty,49,41.0,35,9.0,,2005
2013-03-06,Some Nights,fun.,47,26.0,3,45.0,,2013
2019-08-07,Some Of It,Eric Church,45,42.0,42,5.0,,2019
2019-05-15,Some People Do,Old Dominion,33,33.0,1,,,2019
2023-11-15,Somebody,Jung Kook,12,12.0,1,,https://charts-static.billboard.com/img/2021/12/jungkook-is6-180x180.jpg,2023
2015-06-10,Somebody,Natalie La Rose Featuring Jeremih,50,48.0,13,17.0,,2015
2018-05-02,Somebody,The Chainsmokers & Drew Love,15,15.0,1,,,2018
2021-03-03,Somebody Does,Tigirlily,18,18.0,1,,https://charts-static.billboard.com/img/2021/03/tigirlilygold-000-somebodydoes-i8x-180x180.jpg,2021
2020-01-15,Somebody Like That,Tenille Arts,38,38.0,1,,https://charts-static.billboard.com/img/2020/01/tenille-arts-000-somebodylikethat-7vm-180x180.jpg,2020
2024-09-04,Somebody Save Me,Eminem & Jelly Roll,19,5.0,2,,,2024
2014-06-04,Somebody That I Used To Know,Christina Grimmie & Adam Levine,19,19.0,1,,,2014
2012-05-02,Somebody That I Used To Know,Glee Cast,34,10.0,10,2.0,,2012
2022-11-02,Somebody That I Used To Know,Gotye Featuring Kimbra,33,22.0,1,50.0,https://charts-static.billboard.com/img/2011/12/gotye-d4f-somebodythatiusedtoknow-70r-180x180.jpg,2022
2011-03-02,Somebody To Love,Glee Cast,48,48.0,1,,,2011
2015-12-30,Somebody To Love,Jordan Smith,14,1.0,1,2.0,,2015
2010-09-08,Somebody To Love,Justin Bieber Featuring Usher,42,73.0,10,13.0,https://charts-static.billboard.com/img/2010/04/justin-bieber-f8k-somebodytolove-whd-180x180.jpg,2010
2019-09-25,Somebody To Love,OneRepublic,6,17.0,6,2.0,,2019
2019-03-13,Somebody To Love,Queen,35,26.0,13,8.0,,2019
2005-08-03,Somebody Told Me,The Killers,50,50.0,14,41.0,https://charts-static.billboard.com/img/2004/05/the-killers-iq4-180x180.jpg,2005
2021-11-24,Somebody's Got To,The Band McMillan,31,36.0,31,2.0,https://charts-static.billboard.com/img/2021/11/thebandmcmillan-buc-somebodysgotto-12j-180x180.jpg,2021
2021-02-10,Somebody's Problem,Morgan Wallen,49,9.0,2,,https://charts-static.billboard.com/img/2016/08/morgan-wallen-z1m-180x180.jpg,2021
2022-11-09,Somebody's Watching Me,Rockwell,37,24.0,2,,https://charts-static.billboard.com/img/2013/11/rockwell-000-somebodyswatchingme-31x-180x180.jpg,2022
2022-04-06,Somehow You Do,Reba,45,45.0,1,,https://charts-static.billboard.com/img/2021/05/reba-mcentire-z7o-somehowyoudo-6lq-180x180.jpg,2022
2013-10-23,Someone Else,Miley Cyrus,40,40.0,1,,,2013
2019-08-07,Someone I Used To Know,Zac Brown Band,49,8.0,2,,,2019
2021-11-24,Someone Like You,Adele,49,1.0,41,,https://charts-static.billboard.com/img/2011/03/adele-0zg-someonelikeyou-mz6-180x180.jpg,2021
2014-12-17,Someone Like You,Damien,35,35.0,1,,,2014
2021-03-03,Someone Like You (Interlude),Ariana Grande,43,43.0,1,,,2021
2023-07-05,Someone You Loved,Lewis Capaldi,41,2.0,49,,https://charts-static.billboard.com/img/2019/02/lewis-capaldi-j7n-someoneyouloved-00a-180x180.jpg,2023
2012-07-11,Somethin' 'Bout A Truck,Kip Moore,50,40.0,28,19.0,,2012
2025-01-15,Somethin' 'Bout A Woman,Thomas Rhett Featuring Teddy Swims,15,24.0,3,5.0,https://charts-static.billboard.com/img/2024/11/thomas-rhett-d1j-somethinboutawoman-ycq-180x180.jpg,2025
2014-09-03,Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,43,38.0,10,13.0,,2014
2017-03-15,Somethin' I'm Good At,Brett Eldredge,50,50.0,1,,,2017
2010-03-03,Something About The Sunshine,Christopher Wilde & Anna Margaret,46,46.0,1,,,2010
2014-11-19,Something Big,Shawn Mendes,28,28.0,1,,,2014
2023-10-18,Something In The Orange,Zach Bryan,22,20.0,9,61.0,https://charts-static.billboard.com/img/2022/05/zachbryan-de1-somethingintheorange-8ma-180x180.jpg,2023
2015-01-28,Something In The Water,Carrie Underwood,47,50.0,4,16.0,,2015
2022-05-04,Something In The Way,Nirvana,23,30.0,20,6.0,,2022
2016-03-16,Something In The Way You Move,Ellie Goulding,47,17.0,17,3.0,,2016
2018-01-10,Something Just Like This,The Chainsmokers & Coldplay,35,2.0,36,,https://charts-static.billboard.com/img/2017/03/the-chainsmokers-iis-somethingjustlikethis-rlg-180x180.jpg,2018
2020-04-08,Something New,Wiz Khalifa Featuring Ty Dolla $ign,29,14.0,14,3.0,,2020
2016-06-08,Somewhere,Alisan Porter,21,21.0,1,,,2016
2011-10-12,Somewhere,Glee Cast,42,42.0,1,,,2011
2017-08-09,Somewhere I Belong,Linkin Park,46,46.0,1,,,2017
2017-05-17,Somewhere In My Broken Heart,Lauren Duski,34,34.0,1,,https://charts-static.billboard.com/img/2017/05/lauren-duski-i3y-180x180.jpg,2017
2014-11-19,Somewhere In My Car,Keith Urban,43,43.0,1,,,2014
2016-06-22,Somewhere On A Beach,Dierks Bentley,43,33.0,23,16.0,,2016
2011-05-11,Somewhere Only We Know,Glee Cast,21,21.0,1,,,2011
2011-07-27,Somewhere Only We Know,Keane,46,57.0,26,21.0,https://charts-static.billboard.com/img/2005/02/keane-40f-somewhereonlyweknow-rfe-180x180.jpg,2011
2025-06-04,Somewhere Over Laredo,Lainey Wilson,9,9.0,1,,https://charts-static.billboard.com/img/2025/06/lainey-wilson-cu2-somewhereoverlaredo-izi-180x180.jpg,2025
2020-06-17,Somewhere Over The Rainbow,"Israel ""IZ"" Kamakawiwo'Ole",37,46.0,11,20.0,,2020
2006-07-19,Somewhere Over The Rainbow,Katharine McPhee,32,21.0,21,2.0,,2006
2012-12-19,Somewhere Over The Rainbow,Nicholas David,30,30.0,1,,,2012
2011-02-16,Somewhere With You,Kenny Chesney,44,36.0,36,14.0,,2011
2023-06-21,Son,Mitch Rossell,12,7.0,7,2.0,https://charts-static.billboard.com/img/2023/06/mitch-rossell-vy1-son-136-180x180.jpg,2023
2023-10-18,Son Of A Sinner,Jelly Roll,50,42.0,6,60.0,https://charts-static.billboard.com/img/2022/05/jelly-roll-7m0-sonofasinner-d7x-180x180.jpg,2023
2023-09-13,Son Of A Son Of A Sailor,Jimmy Buffett,15,15.0,1,,,2023
2022-07-06,Son Of The Dirty South,Brantley Gilbert Featuring Jelly Roll,15,15.0,1,,https://charts-static.billboard.com/img/2022/07/brantley-gilbert-ltb-sonofthedirtysouth-67l-180x180.jpg,2022
2023-10-04,Songbird,Fleetwood Mac,48,26.0,3,,https://charts-static.billboard.com/img/2022/12/fleetwood-mac-z28-songbird-quk-180x180.jpg,2023
2011-05-18,Songbird,Glee Cast,37,37.0,1,,,2011
2021-08-18,Songs You Never Heard,Luke Bryan,33,33.0,1,,https://charts-static.billboard.com/img/2021/08/luke-bryan-zck-songsyouneverheard-itk-180x180.jpg,2021
2019-09-04,Soon You'll Get Better,Taylor Swift Featuring Dixie Chicks,17,17.0,1,,,2019
2016-09-21,Sorry,Beyonce,44,35.0,7,18.0,,2016
2008-05-14,Sorry,Buckcherry,38,33.0,6,21.0,,2008
2016-04-27,Sorry,Justin Bieber,46,46.0,1,25.0,https://charts-static.billboard.com/img/2015/11/justin-bieber-f8k-sorry-3ak-180x180.jpg,2016
2012-03-21,Sorry For Party Rocking,LMFAO,41,37.0,37,5.0,,2012
2025-05-14,Sorry I'm Here For Someone Else,Benson Boone,22,22.0,1,,https://charts-static.billboard.com/img/2025/03/bensonboone-941-sorryimhereforsomeoneelse-bml-180x180.jpg,2025
2021-05-12,Sorry Not Sorry,DJ Khaled Featuring Nas| JAY-Z & James Fauntleroy,7,7.0,1,,,2021
2018-02-14,Sorry Not Sorry,Demi Lovato,48,2.0,29,,,2018
2007-10-24,Sorry; Blame It On Me,Akon,43,39.0,4,13.0,,2007
2022-10-05,Soul,Lee Brice,49,46.0,46,3.0,https://charts-static.billboard.com/img/2021/03/lee-brice-vvw-soul-k7l-180x180.jpg,2022
2006-02-01,Soul Meets Body,Death Cab For Cutie,48,73.0,48,13.0,,2006
2006-02-08,Soul Survivor,Young Jeezy Featuring Akon,48,26.0,5,18.0,https://charts-static.billboard.com/img/2005/10/jeezy-s2e-soulsurvivor-h0e-180x180.jpg,2006
2018-07-18,SoulMate,Justin Timberlake,36,36.0,36,2.0,,2018
2008-01-09,Soulja Girl,Soulja Boy Tell'em Featuring I-15,49,34.0,11,,,2008
2021-01-27,Sound Of The South,Kaleb Austin,18,18.0,1,,https://charts-static.billboard.com/img/2021/01/kalebaustin-qdq-soundofthesouth-08i-180x180.jpg,2021
2022-09-21,Sounds Like Something I'd Do,Drake Milligan,31,16.0,4,,https://charts-static.billboard.com/img/2022/06/drakemilligan-h9c-soundslikesomethingiddo-idp-180x180.jpg,2022
2006-06-07,Soundtrack To Your Life,Ashley Parker Angel,32,39.0,32,2.0,,2006
2020-06-17,Sour Candy,Lady Gaga & BLACKPINK,43,10.0,10,3.0,https://charts-static.billboard.com/img/2016/08/blackpink-l5z-180x180.jpg,2020
2020-03-11,South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,50,16.0,10,,,2020
2021-09-15,South On Ya,Luke Combs,22,15.0,15,2.0,https://charts-static.billboard.com/img/2021/09/luke-combs-vjy-southonya-vag-180x180.jpg,2021
2019-07-17,Southbound,Carrie Underwood,49,47.0,2,,,2019
2012-10-17,Southern Comfort Zone,Brad Paisley,41,41.0,1,,,2012
2023-02-01,Southern Cross,Crosby| Stills & Nash,24,24.0,1,,https://charts-static.billboard.com/img/2023/01/crosby-stills-nash-young-000-southerncross-ok1-180x180.jpg,2023
2023-09-13,Southern Cross (Live) (Buffett Live - Tuesdays; Thursdays; Saturdays),Jimmy Buffett,38,38.0,1,,,2023
2013-09-18,Southern Girl,Tim McGraw,48,57.0,48,6.0,,2013
2022-04-06,Soy El Unico,Yahritza y Su Esencia,14,14.0,1,,https://charts-static.billboard.com/img/2022/04/yahritzaysuesencia-thu-soyelunico-rck-180x180.jpg,2022
2016-01-27,Space Oddity,David Bowie,16,16.0,1,,,2016
2021-03-10,Spaceman,Nick Jonas,37,37.0,1,,https://charts-static.billboard.com/img/2021/03/nick-jonas-bvx-spaceman-ijv-180x180.jpg,2021
2008-11-19,Spaceman,The Killers,34,34.0,1,,https://charts-static.billboard.com/img/2004/05/the-killers-iq4-180x180.jpg,2008
2010-11-17,Sparks Fly,Taylor Swift,45,8.0,8,2.0,,2010
2010-11-03,Speak Now,Taylor Swift,50,19.0,2,3.0,,2010
2017-04-19,Speak To A Girl,Tim McGraw & Faith Hill,15,8.0,8,2.0,,2017
2025-08-20,Specter,Bad Omens,5,5.0,1,,https://charts-static.billboard.com/img/2025/08/bad-omens-jbj-specter-kax-180x180.jpg,2025
2021-04-28,Speechless,Dan + Shay,36,35.0,9,59.0,https://charts-static.billboard.com/img/2018/06/dan-shay-rcl-speechless-up7-180x180.jpg,2021
2019-06-12,Speechless (Full),Naomi Scott,30,21.0,21,2.0,,2019
2005-10-05,Speed Of Sound,Coldplay,44,39.0,2,23.0,,2005
2020-11-04,Spicy,Ty Dolla $ign Featuring Post Malone,21,21.0,1,,https://charts-static.billboard.com/img/2020/11/ty-dolla-sign-c0d-spicy-2ac-180x180.jpg,2020
2024-02-07,Spin You Around (1/24),Morgan Wallen,10,10.0,1,,https://charts-static.billboard.com/img/2024/02/morgan-wallen-z1m-spinyouaround124-kpt-180x180.jpg,2024
2019-07-31,Spirit,Beyonce,48,44.0,28,3.0,https://charts-static.billboard.com/img/2019/07/beyonce-n2a-spirit-vqj-180x180.jpg,2019
2023-06-07,Spirit In The Sky,Norman Greenbaum,16,20.0,14,9.0,,2023
2025-02-26,Spitting Off The Edge Of The World,Yeah Yeah Yeahs Featuring Perfume Genius,15,15.0,1,,,2025
2018-05-09,Spoil My Night,Post Malone Featuring Swae Lee,34,34.0,1,,,2018
2009-12-30,Spotlight,Gucci Mane Featuring Usher,49,45.0,45,3.0,,2009
2008-10-22,Spotlight,Jennifer Hudson,49,38.0,38,2.0,,2008
2023-12-20,Spring Day,BTS,5,5.0,1,,,2023
2022-07-13,Springsteen,Eric Church,43,13.0,29,,,2022
2025-03-12,Squabble Up,Kendrick Lamar,23,25.0,6,9.0,,2025
2005-02-09,Stacy's Mom,Fountains Of Wayne,48,49.0,48,2.0,,2005
2007-12-05,Stairway To Heaven,Led Zeppelin,50,30.0,30,2.0,,2007
2012-12-19,Stand,Cassadee Pope,37,37.0,1,,,2012
2023-08-09,Stand By Me,Lil Durk Featuring Morgan Wallen,49,8.0,7,,https://charts-static.billboard.com/img/2013/06/lil-durk-8pk-180x180.jpg,2023
2016-03-30,Stand By You,Rachel Platten,38,30.0,8,16.0,,2016
2020-02-19,Stand Up (From Harriet),Cynthia Erivo,31,31.0,1,,https://charts-static.billboard.com/img/2020/02/cynthia-erivo-ovu-standupfromharriet-p70-180x180.jpg,2020
2024-03-27,Standing Next To You,Jung Kook,9,6.0,1,20.0,https://charts-static.billboard.com/img/2023/11/jungkook-is6-standingnexttoyou-oxz-180x180.jpg,2024
2023-07-26,Standing Room Only,Tim McGraw,39,13.0,2,,https://charts-static.billboard.com/img/2023/03/tim-mcgraw-8f1-standingroomonly-nd1-180x180.jpg,2023
2009-03-18,Stanky Legg,GS Boyz,46,57.0,46,3.0,,2009
2016-10-19,Star Of The Show,Thomas Rhett,36,36.0,1,,,2016
2022-11-16,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,44,47.0,22,6.0,https://charts-static.billboard.com/img/2022/10/lil-nas-x-qv4-starwalkinleagueoflegendsworldsanthem-s28-180x180.jpg,2022
2010-03-03,StarStruck,Christopher Wilde,43,43.0,1,,,2010
2022-06-22,Starboy,The Weeknd Featuring Daft Punk,48,1.0,27,,https://charts-static.billboard.com/img/2016/10/the-weeknd-jlk-starboy-g5m-180x180.jpg,2022
2017-10-11,Stargazing,Kygo Featuring Justin Jesso,48,48.0,1,,,2017
2025-07-23,Stargazing,Myles Smith,15,10.0,25,,https://charts-static.billboard.com/img/2024/05/mylessmith-w4f-stargazing-jjf-180x180.jpg,2025
2018-08-15,Stargazing,Travis Scott,47,47.0,1,,,2018
2012-11-07,Starlight,Taylor Swift,39,39.0,1,,,2012
2012-12-05,Stars,Amanda Brown,38,38.0,1,,,2012
2012-12-05,Stars,Grace Potter & The Nocturnals,45,45.0,1,,,2012
2005-10-12,Stars,Switchfoot,47,36.0,33,3.0,,2005
2006-09-13,Stars Are Blind,Paris Hilton,33,21.0,10,11.0,,2006
2012-09-19,Starships,Nicki Minaj,50,45.0,3,30.0,,2012
2008-01-23,Start All Over,Miley Cyrus,50,58.0,50,2.0,,2008
2010-11-24,Start Me Up / Livin' On A Prayer,Glee Cast,15,15.0,1,,,2010
2006-02-15,Start Of Something New,Zac Efron| Andrew Seeley & Vanessa Anne Hudgens,25,7.0,7,2.0,,2006
2019-05-15,Started,Iggy Azalea,24,24.0,1,,,2019
2013-09-11,Started From The Bottom,Drake,34,5.0,23,,https://charts-static.billboard.com/img/2009/04/drake-bg5-180x180.jpg,2013
2021-11-17,Starting Over,Chris Stapleton,33,4.0,36,,https://charts-static.billboard.com/img/2020/09/chris-stapleton-igf-startingover-1c4-180x180.jpg,2021
2017-02-08,Starving,Hailee Steinfeld & Grey Featuring Zedd,40,38.0,6,23.0,,2017
2012-10-31,State Of Grace,Taylor Swift,2,2.0,1,,,2012
2021-01-06,Stay,BTS,10,3.0,2,,,2021
2014-01-29,Stay,Florida Georgia Line,45,48.0,22,14.0,https://charts-static.billboard.com/img/2012/12/florida-georgia-line-34o-stay-hpq-180x180.jpg,2014
2023-07-19,Stay,Ghost Featuring Patrick Wilson,26,26.0,1,,https://charts-static.billboard.com/img/2023/07/ghost-1-ha2-stay-6yl-180x180.jpg,2023
2015-12-30,Stay,Jeffery Austin,41,41.0,1,,,2015
2015-12-23,Stay,Kygo Featuring Maty Noyes,45,45.0,1,,,2015
2019-05-29,Stay,Maelyn Jarmon,50,15.0,15,2.0,,2019
2010-07-07,Stay,Miley Cyrus,47,47.0,1,,,2010
2022-08-10,Stay,Noah Thompson,23,23.0,1,,https://charts-static.billboard.com/img/2022/08/noahthompson-000-stay-rhq-180x180.jpg,2022
2018-05-09,Stay,Post Malone,18,18.0,1,,,2018
2013-08-07,Stay,Rihanna Featuring Mikky Ekko,49,47.0,2,25.0,https://charts-static.billboard.com/img/2012/12/rihanna-87k-stay-t33-180x180.jpg,2013
2009-02-25,Stay,Sugarland,48,16.0,18,,,2009
2022-05-04,Stay,The Kid LAROI & Justin Bieber,50,3.0,34,,https://charts-static.billboard.com/img/2021/07/thekidlaroi-uw4-stay-vsd-180x180.jpg,2022
2017-08-23,Stay,Zedd & Alessia Cara,42,40.0,1,24.0,https://charts-static.billboard.com/img/2017/03/zedd-47z-stay-jyn-180x180.jpg,2017
2022-03-02,Stay Alive,Jung Kook,25,6.0,6,2.0,https://charts-static.billboard.com/img/2022/02/jungkook-is6-stayalive-xt9-180x180.jpg,2022
2006-02-22,Stay Fly,Three 6 Mafia,45,41.0,15,20.0,,2006
2020-07-01,Stay Gold,BTS,6,6.0,1,,,2020
2012-05-02,Stay Schemin,Rick Ross Featuring Drake & French Montana,26,26.0,1,,https://charts-static.billboard.com/img/2002/03/rick-ross-9cs-180x180.jpg,2012
2012-11-07,Stay Stay Stay,Taylor Swift,28,28.0,1,,,2012
2014-02-05,Stay The Night,Zedd Featuring Hayley Williams,46,35.0,16,18.0,https://charts-static.billboard.com/img/2013/09/zedd-47z-staythenight-v75-180x180.jpg,2014
2020-09-09,Stay Ur Distance,Yo Gotti,8,8.0,1,,https://charts-static.billboard.com/img/2020/09/yo-gotti-tnt-stayurdistance-v5m-180x180.jpg,2020
2022-07-27,Stay With Me,Calvin Harris Featuring Justin Timberlake| Halsey & Pharrell,38,38.0,1,,,2022
2014-05-07,Stay With Me,Josh Kaufman,29,29.0,1,,,2014
2023-02-15,Stay With Me,Sam Smith,37,1.0,50,,https://charts-static.billboard.com/img/2014/04/sam-smith-jw8-staywithme-dk4-180x180.jpg,2023
2006-05-17,Stay With You,Goo Goo Dolls,32,42.0,32,3.0,,2006
2018-07-04,Stay Woke,Meek Mill Featuring Miguel,46,46.0,1,,,2018
2021-05-05,Stayin' Alive,Bee Gees,40,39.0,3,,https://charts-static.billboard.com/img/2020/12/bee-gees-4hr-stayinalive-hof-180x180.jpg,2021
2022-08-24,Staying Alive,DJ Khaled Featuring Drake & Lil Baby,33,6.0,6,2.0,https://charts-static.billboard.com/img/2022/08/dj-khaled-2l5-stayingalive-kyd-180x180.jpg,2022
2010-01-06,Steady Mobbin',Young Money Featuring Gucci Mane,47,47.0,1,,,2010
2006-09-27,Steady; As She Goes,The Raconteurs,41,37.0,37,7.0,,2006
2015-01-07,Steal My Girl,One Direction,45,3.0,8,,https://charts-static.billboard.com/img/2014/10/one-direction-3ht-stealmygirl-im5-180x180.jpg,2015
2023-10-04,Steal The Show,Lauv,35,24.0,24,2.0,https://charts-static.billboard.com/img/2023/07/lauv-jt5-stealtheshow-i0a-180x180.jpg,2023
2019-12-25,Steamroller,Rose Short,47,47.0,1,,,2019
2021-11-17,Step By Step,Brandon Davis,38,20.0,2,,https://charts-static.billboard.com/img/2021/02/brandondavis-as2-stepbystep-s95-180x180.jpg,2021
2008-07-23,Stepped On My J'z,Nelly Featuring Ciara & JD,50,50.0,1,,,2008
2012-02-22,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,43,40.0,3,31.0,,2012
2011-04-06,Stereo Love,Edward Maya & Vika Jigulina,50,55.0,13,23.0,,2011
2024-05-15,Stick Season,Noah Kahan,25,17.0,6,,https://charts-static.billboard.com/img/2023/10/noah-kahan-h8e-stickseason-2x0-180x180.jpg,2024
2020-09-30,Stick That In Your Country Song,Eric Church,21,13.0,4,7.0,,2020
2006-02-15,Stick To The Status Quo,High School Musical Cast,36,16.0,16,2.0,,2006
2006-03-08,Stickwitu,The Pussycat Dolls,38,31.0,7,19.0,,2006
2022-07-06,Sticky,Drake,43,28.0,28,2.0,https://charts-static.billboard.com/img/2009/04/drake-bg5-180x180.jpg,2022
2021-06-09,Stigma,BTS,22,22.0,1,,,2021
2025-05-28,Still Bad,Lizzo,11,11.0,1,,https://charts-static.billboard.com/img/2025/05/lizzo-m95-stillbad-sud-180x180.jpg,2025
2020-02-19,Still Be Friends,G-Eazy| Tory Lanez & Tyga,24,24.0,1,,,2020
2022-03-16,Still D.R.E.,Dr. Dre Featuring Snoop Dogg,45,19.0,3,4.0,https://charts-static.billboard.com/img/2022/02/dr-dre-gbs-stilldre-2oa-180x180.jpg,2022
2016-09-07,Still Falling For You,Ellie Goulding,34,34.0,1,,https://charts-static.billboard.com/img/2016/09/ellie-goulding-tg3-stillfallingforyou-hrh-180x180.jpg,2016
2020-12-09,Still Goin Down,Morgan Wallen,46,11.0,11,2.0,https://charts-static.billboard.com/img/2016/08/morgan-wallen-z1m-180x180.jpg,2020
2017-04-12,Still Got Time,Zayn Featuring PARTYNEXTDOOR,28,28.0,1,,,2017
2020-10-14,Still Have Me,Demi Lovato,16,39.0,16,2.0,https://charts-static.billboard.com/img/2020/10/demi-lovato-3qc-stillhaveme-9yr-180x180.jpg,2020
2023-02-08,Still Into You,Paramore,25,21.0,21,22.0,,2023
2020-01-29,Still Learning,Halsey,37,37.0,1,,,2020
2022-04-13,Still Life,BIGBANG,24,24.0,1,,https://charts-static.billboard.com/img/2022/04/bigbang-000-stilllife-hw4-180x180.jpg,2022
2022-12-14,Still Life,RM With Anderson .Paak,10,10.0,1,,,2022
2024-10-02,Still Proud To Be An American,Kyle Coulahan,17,17.0,1,,https://charts-static.billboard.com/img/2024/10/kylecoulahan-000-stillproudtobeanamerican-dm4-180x180.jpg,2024
2005-05-04,Still Tippin',Mike Jones,46,74.0,46,3.0,,2005
2023-07-12,Still With You,Jung Kook,6,6.0,1,,https://charts-static.billboard.com/img/2023/07/jungkook-is6-stillwithyou-9zz-180x180.jpg,2023
2019-08-14,Stinkfist,Tool,13,13.0,1,,,2019
2018-04-18,Stir Fry,Migos,44,30.0,20,11.0,,2018
2011-07-13,Stitch By Stitch,Javier Colon,6,6.0,1,,,2011
2016-04-06,Stitches,Shawn Mendes,49,48.0,4,43.0,,2016
2007-06-20,Stolen,Dashboard Confessional,46,47.0,33,10.0,,2007
2015-01-28,Stolen Dance,Milky Chance,49,49.0,31,17.0,,2015
2023-03-08,Stone,Whiskey Myers,44,44.0,1,,,2023
2022-07-27,Stop,j-hope,15,15.0,1,,https://charts-static.billboard.com/img/2018/03/jhope-d66-180x180.jpg,2022
2008-07-09,Stop And Stare,OneRepublic,47,41.0,8,27.0,,2008
2025-05-14,Stop The Rain,TABLO X RM,4,4.0,1,,https://charts-static.billboard.com/img/2025/05/tablo-000-stoptherain-87y-180x180.jpg,2025
2010-11-24,Stop! In The Name Of Love / Free Your Mind,Glee Cast,22,22.0,1,,,2010
2014-04-16,Story Of My Life,One Direction,34,31.0,2,22.0,https://charts-static.billboard.com/img/2013/11/one-direction-3ht-storyofmylife-qai-180x180.jpg,2014
2015-09-02,Straight Outta Compton,N.W.A,33,33.0,1,,,2015
2019-12-04,Straight To Hell,Ozzy Osbourne,50,50.0,1,,,2019
2007-05-30,Straight To The Bank,50 Cent,46,25.0,25,2.0,,2007
2021-06-23,Straightenin,Migos,26,26.0,1,,https://charts-static.billboard.com/img/2021/05/migos-ca0-straightenin-rxs-180x180.jpg,2021
2010-02-03,Stranded (Haiti Mon Amour),Jay-Z| Bono| The Edge & Rihanna,8,8.0,1,,,2010
2020-06-03,Strange,Agust D Featuring RM,10,10.0,1,,https://charts-static.billboard.com/img/2018/03/agustd-t79-180x180.jpg,2020
2012-02-08,Strange Clouds,B.o.B Featuring Lil Wayne,48,50.0,3,16.0,,2012
2024-04-03,Stranger,Olivia Rodrigo,12,12.0,1,,https://charts-static.billboard.com/img/2019/11/oliviarodrigo-3wl-180x180.jpg,2024
2017-06-14,Strangers,Halsey Featuring Lauren Jauregui,29,29.0,1,,,2017
2021-04-28,Strawberry Wine,Deana Carter,11,17.0,11,2.0,https://charts-static.billboard.com/img/2010/10/deana-carter-7dq-strawberrywine-6yb-180x180.jpg,2021
2006-10-04,Street Corner Symphony,Rob Thomas,42,42.0,1,,,2006
2021-03-24,Streets,Doja Cat,41,30.0,2,,https://charts-static.billboard.com/img/2018/04/dojacat-cqv-180x180.jpg,2021
2023-02-01,Stressed Out,Twenty One Pilots,43,2.0,32,,https://charts-static.billboard.com/img/2015/05/twenty-one-pilots-w3j-stressedout-8gh-180x180.jpg,2023
2012-02-15,Strip,Chris Brown Featuring Kevin K-MAC McCall,47,46.0,46,5.0,,2012
2015-12-02,Strip It Down,Luke Bryan,46,31.0,16,16.0,,2015
2018-01-10,Strip That Down,Liam Payne Featuring Quavo,49,2.0,26,,,2018
2023-10-11,Strong,Anne Wilson,47,47.0,1,,https://charts-static.billboard.com/img/2023/10/annewilson-hvr-strong-1d0-180x180.jpg,2023
2013-12-04,Strong,One Direction,24,24.0,1,,,2013
2010-10-13,Stronger,Glee Cast,23,23.0,1,,,2010
2022-06-15,Stronger,Kanye West,28,21.0,1,41.0,,2022
2012-07-18,Stronger (What Doesn't Kill You),Kelly Clarkson,47,48.0,1,29.0,,2012
2006-09-13,Strut,The Cheetah Girls,30,37.0,30,2.0,,2006
2011-02-02,Stuck Like Glue,Sugarland,49,46.0,12,26.0,,2011
2023-08-30,Stuck Living In The New World,Oliver Anthony Music,32,24.0,24,2.0,https://charts-static.billboard.com/img/2023/08/oliveranthonymusic-zyi-stucklivinginthenewworld-ojm-180x180.jpg,2023
2015-02-25,Stuck On A Feeling,Prince Royce Featuring Snoop Dogg,31,34.0,31,4.0,,2015
2020-07-29,Stuck With U,Ariana Grande & Justin Bieber,44,1.0,10,,,2020
2006-12-27,Stuntin' Like My Daddy,Birdman & Lil Wayne,50,39.0,20,9.0,https://charts-static.billboard.com/img/2006/11/birdman-e2h-stuntinlikemydaddy-pp4-180x180.jpg,2006
2012-12-26,Stupid Boy,Cassadee Pope,6,6.0,1,,,2012
2006-05-31,Stupid Girls,P!nk,40,38.0,7,15.0,,2006
2012-02-08,Stupid Hoe,Nicki Minaj,39,39.0,1,,,2012
2020-06-03,Stupid Love,Lady Gaga,31,1.0,6,,,2020
2010-10-06,Stutter,Maroon 5,49,49.0,1,,,2010
2015-06-17,Style,Taylor Swift,50,40.0,7,28.0,,2015
2023-11-08,Style (Taylor's Version),Taylor Swift,15,15.0,1,,,2023
2023-11-08,Suburban Legends (Taylor's Version) [From The Vault],Taylor Swift,25,25.0,1,,,2023
2009-10-14,Successful,Drake Featuring Trey Songz & Lil Wayne,48,33.0,24,3.0,https://charts-static.billboard.com/img/2009/04/drake-bg5-180x180.jpg,2009
2020-01-15,Sucker,Jonas Brothers,49,36.0,1,34.0,,2020
2017-01-18,Sucker For Pain,Lil Wayne| Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors,45,43.0,5,21.0,,2017
2022-08-17,Suddenly,Olivia Newton-John And Cliff Richard,42,42.0,1,,https://charts-static.billboard.com/img/2022/08/olivia-newton-john-k57-suddenly-fxp-180x180.jpg,2022
2007-03-07,Suddenly I See,KT Tunstall,49,41.0,9,33.0,,2007
2008-01-30,Suffocate,J. Holiday,50,71.0,50,2.0,,2008
2022-02-23,Suga Suga,Baby Bash Featuring Frankie J,30,32.0,16,4.0,,2022
